Name,Type,Difficulty,Host Type,Host Stim,Categories
Baby,visual,Easy,audio,Baby,ReceptiveVocabulary
Girl,visual,Easy,audio,Girl,ReceptiveVocabulary
Duck,visual,Easy,audio,Duck,ReceptiveVocabulary
Bee2,visual,Easy,audio,Bee,ReceptiveVocabulary
Tortoise,visual,Easy,audio,Tortoise,ReceptiveVocabulary
Monkey,visual,Easy,audio,Monkey,ReceptiveVocabulary
A_Name,audio,Easy,visual,Letter_A,LetterNameID
A_Sound,audio,Easy,visual,Letter_A,LetterSoundMatching
B_Name,audio,Easy,visual,Letter_B,LetterNameID
B_Sound,audio,Easy,visual,Letter_B,LetterSoundMatching
Baby,audio,Easy,visual,baby_word,SightWordIdentification
ballop,visual,Easy,audio,ballop,PseudoWordMatching
Bed,audio,Easy,audio,Fed,RhymingWordMatching
Bunny,audio,Easy,audio,Funny,RhymingWordMatching
C_Name,audio,Easy,visual,Letter_C,LetterNameID
C_Sound,audio,Easy,visual,Letter_C,LetterSoundMatching
D_Name,audio,Easy,visual,Letter_D,LetterNameID
D_Sound,audio,Easy,visual,Letter_D,LetterSoundMatching
E_Name,audio,Easy,visual,Letter_E,LetterNameID
E_Sound,audio,Easy,visual,Letter_E,LetterSoundMatching
Eyes,audio,Easy,visual,eyes,SightWordIdentification
F_Name,audio,Easy,visual,Letter_F,LetterNameID
F_Sound,audio,Easy,visual,Letter_F,LetterSoundMatching
Fed,audio,Easy,audio,Bed,RhymingWordMatching
Funny,audio,Easy,audio,Bunny,RhymingWordMatching
G_Name,audio,Easy,visual,Letter_G,LetterNameID
G_Sound,audio,Easy,visual,Letter_G,LetterSoundMatching
Green,audio,Easy,visual,green_word,SightWordIdentification
H_Name,audio,Easy,visual,Letter_H,LetterNameID
H_Sound,audio,Easy,visual,Letter_H,LetterSoundMatching
Hand,audio,Easy,audio,Sand,RhymingWordMatching
Hello,audio,Easy,visual,hello,SightWordIdentification
Help,audio,Easy,visual,help,SightWordIdentification
I_Name,audio,Medium,visual,Letter_I,LetterNameID
I_Sound,audio,Medium,visual,Letter_I,LetterSoundMatching
J_Name,audio,Medium,visual,Letter_J,LetterNameID
J_Sound,audio,Medium,visual,Letter_J,LetterSoundMatching
jup,visual,Easy,audio,jup,PseudoWordMatching
K_Name,audio,Medium,visual,Letter_K,LetterNameID
K_Sound,audio,Medium,visual,Letter_K,LetterSoundMatching
L_Name,audio,Medium,visual,Letter_L,LetterNameID
L_Sound,audio,Medium,visual,Letter_L,LetterSoundMatching
M_Name,audio,Medium,visual,Letter_M,LetterNameID
M_Sound,audio,Medium,visual,Letter_M,LetterSoundMatching
Me,audio,Easy,visual,me,SightWordIdentification
N_Name,audio,Medium,visual,Letter_N,LetterNameID
N_Sound,audio,Medium,visual,Letter_N,LetterSoundMatching
O_Name,audio,Medium,visual,Letter_O,LetterNameID
O_Sound,audio,Medium,visual,Letter_O,LetterSoundMatching
P_Name,audio,Medium,visual,Letter_P,LetterNameID
P_Sound,audio,Medium,visual,Letter_P,LetterSoundMatching
Q_Name,audio,Hard,visual,Letter_Q,LetterNameID
Q_Sound,audio,Hard,visual,Letter_Q,LetterSoundMatching
R_Name,audio,Hard,visual,Letter_R,LetterNameID
R_Sound,audio,Hard,visual,Letter_R,LetterSoundMatching
S_Name,audio,Hard,visual,Letter_S,LetterNameID
S_Sound,audio,Hard,visual,Letter_S,LetterSoundMatching
Sand,audio,Easy,audio,Hand,RhymingWordMatching
T_Name,audio,Hard,visual,Letter_T,LetterNameID
T_Sound,audio,Hard,visual,Letter_T,LetterSoundMatching
Tell,audio,Easy,visual,tell,SightWordIdentification
Top,audio,Easy,audio,Hop,RhymingWordMatching
U_Name,audio,Hard,visual,Letter_U,LetterNameID
U_Sound,audio,Hard,visual,Letter_U,LetterSoundMatching
V_Name,audio,Hard,visual,Letter_V,LetterNameID
V_Sound,audio,Hard,visual,Letter_V,LetterSoundMatching
W_Name,audio,Hard,visual,Letter_W,LetterNameID
W_Sound,audio,Hard,visual,Letter_W,LetterSoundMatching
X_Name,audio,Hard,visual,Letter_X,LetterNameID
X_Sound,audio,Hard,visual,Letter_X,LetterSoundMatching
Y_Name,audio,Hard,visual,Letter_Y,LetterNameID
Y_Sound,audio,Hard,visual,Letter_Y,LetterSoundMatching
Z_Name,audio,Hard,visual,Letter_Z,LetterNameID
Z_Sound,audio,Hard,visual,Letter_Z,LetterSoundMatching
Beetle,visual,Easy,audio,Beetle,ReceptiveVocabulary
Bird2,visual,Easy,audio,Bird,ReceptiveVocabulary
Blue,visual,Medium,audio,Blue,ReceptiveVocabulary
Chameleon,visual,Easy,audio,Chameleon,ReceptiveVocabulary
Chicken,visual,Easy,audio,Chicken,ReceptiveVocabulary
Ear,visual,Easy,audio,Ear,ReceptiveVocabulary
Elephant,visual,Easy,audio,Elephant,ReceptiveVocabulary
Eye,visual,Hard,audio,Eye,ReceptiveVocabulary
Fish,visual,Hard,audio,Fish,ReceptiveVocabulary
Frog,visual,Easy,audio,Frog,ReceptiveVocabulary
Goat,visual,Hard,audio,Goat,ReceptiveVocabulary
Green,visual,Medium,audio,Green,ReceptiveVocabulary
Hippo,visual,Hard,audio,Hippo,ReceptiveVocabulary
Lion1,visual,Easy,audio,Lion1,ReceptiveVocabulary
Lips,visual,Easy,audio,Lips,ReceptiveVocabulary
Moon,visual,Easy,audio,Moon,ReceptiveVocabulary
Mosquito,visual,Easy,audio,Mosquito,ReceptiveVocabulary
Mountain,visual,Hard,audio,Mountain,ReceptiveVocabulary
Mouse,visual,Hard,audio,Mouse,ReceptiveVocabulary
Nose,visual,Hard,audio,Nose,ReceptiveVocabulary
Orange,visual,Medium,audio,Orange,ReceptiveVocabulary
Plain,visual,Hard,audio,Plain,ReceptiveVocabulary
Play,visual,Hard,audio,Play,ReceptiveVocabulary
Red,visual,Medium,audio,Red,ReceptiveVocabulary
River,visual,Hard,audio,River,ReceptiveVocabulary
Rocks,visual,Hard,audio,Rocks,ReceptiveVocabulary
Run,visual,Hard,audio,Run,ReceptiveVocabulary
Sit,visual,Hard,audio,Sit,ReceptiveVocabulary
Sleep,visual,Hard,audio,Sleep,ReceptiveVocabulary
Snail,visual,Hard,audio,Snail,ReceptiveVocabulary
Snake,visual,Hard,audio,Snake,ReceptiveVocabulary
Splash,visual,Medium,audio,Splash,ReceptiveVocabulary
Sun,visual,Easy,audio,Sun,ReceptiveVocabulary
Swim,visual,Easy,audio,Swim,ReceptiveVocabulary
Warthog,visual,Hard,audio,Warthog,ReceptiveVocabulary
Wind,visual,Easy,audio,Wind,ReceptiveVocabulary
yes,audio,Easy,visual,yes,SightWordIdentification
water,audio,Easy,visual,water,SightWordIdentification
my,audio,Easy,visual,my,SightWordIdentification
no,audio,Easy,visual,no,SightWordIdentification
eat,audio,Easy,visual,eat,SightWordIdentification
sleep,audio,Easy,visual,sleep,SightWordIdentification
I,audio,Easy,visual,I,SightWordIdentification
jump,audio,Easy,visual,jump,SightWordIdentification
big,audio,Easy,visual,big,SightWordIdentification
ask,audio,Easy,visual,ask,SightWordIdentification
stop,audio,Easy,visual,stop,SightWordIdentification
a,audio,Easy,visual,a,SightWordIdentification
up,audio,Easy,visual,up,SightWordIdentification
fly,audio,Easy,visual,fly,SightWordIdentification
see,audio,Easy,visual,see,SightWordIdentification
get,audio,Easy,visual,get,SightWordIdentification
yellow,audio,Easy,visual,yellow,SightWordIdentification
one,audio,Easy,visual,one,SightWordIdentification
food,audio,Easy,visual,food,SightWordIdentification
me,audio,Easy,visual,me,SightWordIdentification
out,audio,Easy,visual,out,SightWordIdentification
come,audio,Easy,visual,come,SightWordIdentification
go,audio,Easy,visual,go,SightWordIdentification
milk,audio,Easy,visual,milk,SightWordIdentification
say,audio,Easy,visual,say,SightWordIdentification
him,audio,Easy,visual,him,SightWordIdentification
walk,audio,Easy,visual,walk,SightWordIdentification
sing,audio,Easy,visual,sing,SightWordIdentification
sit,audio,Easy,visual,sit,SightWordIdentification
please,audio,Easy,visual,please,SightWordIdentification
day,audio,Easy,visual,day,SightWordIdentification
people,audio,Easy,visual,people,SightWordIdentification
blue,audio,Easy,visual,blue,SightWordIdentification
good,audio,Easy,visual,good,SightWordIdentification
black,audio,Easy,visual,black,SightWordIdentification
she,audio,Easy,visual,she,SightWordIdentification
do,audio,Easy,visual,do,SightWordIdentification
help,audio,Easy,visual,help,SightWordIdentification
boy,audio,Easy,visual,boy,SightWordIdentification
red,audio,Easy,visual,red,SightWordIdentification
cat,audio,Easy,visual,cat,SightWordIdentification
book,audio,Easy,visual,book,SightWordIdentification
in,audio,Easy,visual,in,SightWordIdentification
three,audio,Easy,visual,three,SightWordIdentification
like,audio,Easy,visual,like,SightWordIdentification
his,audio,Easy,visual,his,SightWordIdentification
have,audio,Easy,visual,have,SightWordIdentification
old,audio,Easy,visual,old,SightWordIdentification
put,audio,Easy,visual,put,SightWordIdentification
here,audio,Easy,visual,here,SightWordIdentification
fast,audio,Easy,visual,fast,SightWordIdentification
more,audio,Easy,visual,more,SightWordIdentification
thank,audio,Easy,visual,thank,SightWordIdentification
green,audio,Easy,visual,green,SightWordIdentification
wish,audio,Easy,visual,wish,SightWordIdentification
he,audio,Easy,visual,he,SightWordIdentification
who,audio,Easy,visual,who,SightWordIdentification
off,audio,Easy,visual,off,SightWordIdentification
baby,audio,Easy,visual,baby,SightWordIdentification
what,audio,Easy,visual,what,SightWordIdentification
not,audio,Easy,visual,not,SightWordIdentification
air,audio,Easy,visual,air,SightWordIdentification
little,audio,Easy,visual,little,SightWordIdentification
cold,audio,Easy,visual,cold,SightWordIdentification
to,audio,Easy,visual,to,SightWordIdentification
why,audio,Medium,visual,why,SightWordIdentification
the,audio,Medium,visual,the,SightWordIdentification
wash,audio,Medium,visual,wash,SightWordIdentification
paper,audio,Medium,visual,paper,SightWordIdentification
on,audio,Medium,visual,on,SightWordIdentification
on,audio,Medium,visual,on,SightWordIdentification
at,audio,Medium,visual,at,SightWordIdentification
look,audio,Medium,visual,look,SightWordIdentification
white,audio,Medium,visual,white,SightWordIdentification
where,audio,Medium,visual,where,SightWordIdentification
pretty,audio,Medium,visual,pretty,SightWordIdentification
best,audio,Medium,visual,best,SightWordIdentification
children,audio,Medium,visual,children,SightWordIdentification
play,audio,Medium,visual,play,SightWordIdentification
